ticker,year,hq_state,total_deposits_k,hq_state_deposits_k,locality,n_states,n_branches,n_certs,top_state,top_state_share
HBAN,2015,OH,53972437.0,35579892.0,0.6592233735897455,7,760,1,OH,0.6592233735897455
HBAN,2016,OH,57057191.0,38232375.0,0.6700711046220273,7,807,1,OH,0.6700711046220273
HBAN,2017,OH,77936696.0,50073617.0,0.6424908877327825,9,1057,1,OH,0.6424908877327825
HBAN,2018,OH,82636352.0,53826176.0,0.6513619575075144,9,1011,1,OH,0.6513619575075144
HBAN,2019,OH,83611387.0,53703425.0,0.6422979802978271,8,909,1,OH,0.6422979802978271
HBAN,2020,OH,98563721.0,64108247.0,0.6504243787630543,8,878,1,OH,0.6504243787630543
HBAN,2021,OH,147543078.0,74741344.0,0.5065730294714335,12,1291,1,OH,0.5065730294714335
HBAN,2022,OH,148689895.0,79132227.0,0.5321964011071498,11,1080,1,OH,0.5321964011071498
HBAN,2023,OH,152046997.0,83339866.0,0.5481191187222199,11,1051,1,OH,0.5481191187222199
HBAN,2024,OH,159226531.0,88673025.0,0.5568985548017749,11,1018,1,OH,0.5568985548017749
HBAN,2025,OH,167403258.0,96088851.0,0.573996301792406,13,1008,1,OH,0.573996301792406
INDB,2009,MA,3343612.0,3343612.0,1.0,1,71,1,MA,1.0
INDB,2010,MA,3702041.0,3702041.0,1.0,1,70,1,MA,1.0
INDB,2011,MA,3815885.0,3815885.0,1.0,1,67,1,MA,1.0
INDB,2012,MA,4110601.0,4110601.0,1.0,1,67,1,MA,1.0
INDB,2013,MA,4693716.0,4693716.0,1.0,1,77,1,MA,1.0
INDB,2014,MA,5315525.0,5315525.0,1.0,1,79,1,MA,1.0
INDB,2015,MA,5996161.0,5996161.0,1.0,1,87,1,MA,1.0
INDB,2016,MA,6241825.0,6241825.0,1.0,1,84,1,MA,1.0
INDB,2017,MA,6738951.0,6738951.0,1.0,1,88,1,MA,1.0
INDB,2018,MA,7071415.0,7071415.0,1.0,1,86,1,MA,1.0
INDB,2019,MA,9385652.0,9385652.0,1.0,1,97,1,MA,1.0
INDB,2020,MA,10811588.0,10811588.0,1.0,1,98,1,MA,1.0
INDB,2021,MA,12051853.0,12051853.0,1.0,1,98,1,MA,1.0
INDB,2022,MA,16768947.0,16768947.0,1.0,1,125,1,MA,1.0
INDB,2023,MA,15371670.0,15371670.0,1.0,1,124,1,MA,1.0
INDB,2024,MA,15481757.0,15481757.0,1.0,1,124,1,MA,1.0
INDB,2025,MA,16190169.0,16190169.0,1.0,1,125,1,MA,1.0
KEY,2009,OH,67430022.0,22125594.0,0.328126750425797,15,1005,1,OH,0.328126750425797
KEY,2010,OH,61869569.0,19620099.0,0.317120343928693,15,1034,1,OH,0.317120343928693
KEY,2011,OH,59764459.0,18894466.0,0.31614886700471934,15,1059,1,OH,0.31614886700471934
KEY,2012,OH,61669392.0,17674445.0,0.28659995545277955,15,1073,1,OH,0.28659995545277955
KEY,2013,OH,67298377.0,19083319.0,0.28356284134459886,14,1067,1,NY,0.29244211936938685
KEY,2014,OH,69303559.0,20493221.0,0.2957022885361486,13,1026,1,OH,0.2957022885361486
KEY,2015,OH,72569086.0,21081624.0,0.2905041962358462,13,1002,1,OH,0.2905041962358462
KEY,2016,OH,78239739.0,22009464.0,0.281307993627126,13,961,1,OH,0.281307993627126
KEY,2017,OH,105344214.0,22312132.0,0.21180215934783092,16,1235,1,NY,0.31989006059696834
KEY,2018,OH,107702800.0,24103468.0,0.2237961130072756,16,1199,1,NY,0.3031657858477217
KEY,2019,OH,113915547.0,24653761.0,0.21642138978624226,16,1125,1,NY,0.2902921582775703
KEY,2020,OH,140218182.0,34313491.0,0.24471498995757912,16,1099,1,NY,0.2771399646302646
KEY,2021,OH,148933764.0,40311761.0,0.2706690539292353,16,1035,1,OH,0.2706690539292353
KEY,2022,OH,149408458.0,61961557.0,0.41471251246030527,16,999,1,OH,0.41471251246030527
KEY,2023,OH,148184221.0,70393382.0,0.47503966026180344,16,985,1,OH,0.47503966026180344
KEY,2024,OH,149273809.0,68772642.0,0.46071472591685525,16,963,1,OH,0.46071472591685525
KEY,2025,OH,151999252.0,68659357.0,0.45170851893402736,16,955,1,OH,0.45170851893402736
MSBI,2009,IL,952745.0,831090.0,0.8723110590976599,2,17,1,IL,0.8723110590976599
MSBI,2010,IL,1381685.0,1337296.0,0.9678732851554442,2,32,1,IL,0.9678732851554442
MSBI,2011,IL,1247985.0,1202108.0,0.9632391414960917,2,32,1,IL,0.9632391414960917
MSBI,2012,IL,1201316.0,1163902.0,0.9688558214491441,2,32,1,IL,0.9688558214491441
MSBI,2013,IL,1363997.0,1338541.0,0.9813372023545507,2,34,1,IL,0.9813372023545507
MSBI,2014,IL,1451423.0,1427186.0,0.9833012154278938,2,35,1,IL,0.9833012154278938
MSBI,2015,IL,2244143.0,1430421.0,0.6374018946207973,3,50,1,IL,0.6374018946207973
MSBI,2016,IL,2397790.0,1459162.0,0.6085445347590906,3,49,1,IL,0.6085445347590906
MSBI,2017,IL,3356538.0,2273803.0,0.6774250730961485,3,65,2,IL,0.6774250730961485
MSBI,2018,IL,4183051.0,3283360.0,0.7849199065466809,3,78,2,IL,0.7849199065466809
MSBI,2019,IL,4038071.0,3200462.0,0.7925719978672985,2,73,1,IL,0.7925719978672985
MSBI,2020,IL,5007347.0,4034965.0,0.805808944337191,2,72,1,IL,0.805808944337191
MSBI,2021,IL,5241867.0,4294723.0,0.819311707069256,2,58,1,IL,0.819311707069256
MSBI,2022,IL,6220026.0,4673258.0,0.7513245121483415,2,59,1,IL,0.7513245121483415
MSBI,2023,IL,6432285.0,4933009.0,0.7669139349391391,2,59,1,IL,0.7669139349391391
MSBI,2024,IL,6124642.0,4751585.0,0.7758143251474944,2,59,1,IL,0.7758143251474944
MSBI,2025,IL,5955068.0,4728803.0,0.794080437032793,2,58,1,IL,0.794080437032793
MTB,2009,NY,46217879.0,23462987.0,0.5076604012918896,8,828,2,NY,0.5076604012918896
MTB,2010,NY,47340936.0,23481024.0,0.49599830472299916,8,761,2,NY,0.49599830472299916
MTB,2011,NY,60077592.0,24509339.0,0.40796140764097205,9,793,4,NY,0.40796140764097205
MTB,2012,NY,64281999.0,29623800.0,0.4608413002215441,9,777,2,NY,0.4608413002215441
MTB,2013,NY,67045069.0,32168094.0,0.4797980594217898,9,789,2,NY,0.4797980594217898
MTB,2014,NY,72298381.0,36097483.0,0.4992848041783951,9,765,2,NY,0.4992848041783951
MTB,2015,NY,75039441.0,38883011.0,0.518167652661485,9,745,2,NY,0.518167652661485
MTB,2016,NY,97270117.0,45048923.0,0.4631321971166129,10,873,2,NY,0.4631321971166129
MTB,2017,NY,97838184.0,47278799.0,0.4832346336272963,10,865,2,NY,0.4832346336272963
MTB,2018,NY,93400365.0,47609066.0,0.5097310486955806,10,852,2,NY,0.5097310486955806
MTB,2019,NY,95072793.0,50185614.0,0.5278651485499116,10,822,2,NY,0.5278651485499116
MTB,2020,NY,120486860.0,62997524.0,0.5228580444373768,10,801,2,NY,0.5228580444373768
MTB,2021,NY,139283106.0,71169094.0,0.5109671663984863,10,763,2,NY,0.5109671663984863
MTB,2022,NY,173083343.0,73777834.0,0.42625611870692837,14,1109,2,NY,0.42625611870692837
MTB,2023,NY,165261399.0,78939247.0,0.4776629477764496,14,1075,2,NY,0.4776629477764496
MTB,2024,NY,163695765.0,68042978.0,0.4156673081921209,14,1042,2,NY,0.4156673081921209
MTB,2025,NY,168389280.0,70258385.0,0.4172378728622155,14,1022,2,NY,0.4172378728622155
NTRS,2009,IL,23623468.0,13256078.0,0.5611402187011661,17,94,3,IL,0.5611402187011661
NTRS,2010,IL,23306995.0,12670630.0,0.5436406538037186,17,88,3,IL,0.5436406538037186
NTRS,2011,IL,30421322.0,18854287.0,0.6197721124676961,17,83,3,IL,0.6197721124676961
NTRS,2012,IL,35532125.0,22276716.0,0.6269457849762715,18,76,1,IL,0.6269457849762715
NTRS,2013,IL,33070605.0,21402539.0,0.6471771230069725,18,71,1,IL,0.6471771230069725
NTRS,2014,IL,37908449.0,26558287.0,0.7005901771396661,18,68,1,IL,0.7005901771396661
NTRS,2015,IL,43892391.0,31891235.0,0.7265777569510852,18,65,1,IL,0.7265777569510852
NTRS,2016,IL,41438794.0,29181412.0,0.7042051465107793,18,64,1,IL,0.7042051465107793
NTRS,2017,IL,36878232.0,25442184.0,0.6898970644796638,18,64,1,IL,0.6898970644796638
NTRS,2018,IL,35403079.0,24898673.0,0.7032911741941993,18,59,1,IL,0.7032911741941993
NTRS,2019,IL,34549949.0,23216879.0,0.6719801236175487,18,56,1,IL,0.6719801236175487
NTRS,2020,IL,47360543.0,34446777.0,0.7273307022683418,18,56,1,IL,0.7273307022683418
NTRS,2021,IL,53347658.0,38407541.0,0.7199480247099133,18,55,1,IL,0.7199480247099133
NTRS,2022,IL,54633476.0,38494824.0,0.704601405921893,19,58,1,IL,0.704601405921893
NTRS,2023,IL,39497072.0,26778028.0,0.6779750154644375,19,58,1,IL,0.6779750154644375
NTRS,2024,IL,48160674.0,34191253.0,0.7099413309705757,19,58,1,IL,0.7099413309705757
NTRS,2025,IL,51521446.0,36912765.0,0.716454367371599,19,58,1,IL,0.716454367371599
NYCB,2009,NY,14632603.0,11335831.0,0.7746968191510424,2,216,2,NY,0.7746968191510424
NYCB,2010,NY,22705994.0,10946586.0,0.4821011579585549,5,285,2,NY,0.4821011579585549
NYCB,2011,NY,22024445.0,10896449.0,0.49474340897125896,5,282,2,NY,0.49474340897125896
NYCB,2012,NY,25266780.0,11110432.0,0.4397248877775482,5,281,2,NY,0.4397248877775482
NYCB,2013,NY,25451416.0,12358834.0,0.4855853206752819,5,280,2,NY,0.4855853206752819
NYCB,2014,NY,27519244.0,13573285.0,0.49322884742037243,5,278,2,NY,0.49322884742037243
NYCB,2015,NY,28839750.0,14203194.0,0.4924867240527397,5,280,2,NY,0.4924867240527397
NYCB,2016,NY,29144701.0,17915099.0,0.614694897710565,5,269,2,NY,0.614694897710565
NYCB,2017,NY,29037297.0,18386093.0,0.6331888605196275,5,262,2,NY,0.6331888605196275
NYCB,2018,NY,29642973.0,18855409.0,0.6360836006563849,5,255,2,NY,0.6360836006563849
NYCB,2019,NY,32502746.0,21663794.0,0.6665219609444691,5,242,1,NY,0.6665219609444691
NYCB,2020,NY,31867678.0,22091451.0,0.6932243698458357,5,239,1,NY,0.6932243698458357
NYCB,2021,NY,34324985.0,24606781.0,0.7168766716139862,5,237,1,NY,0.7168766716139862
NYCB,2022,NY,50132691.0,31288736.0,0.6241184220491974,9,395,2,NY,0.6241184220491974
NYCB,2023,NY,88627165.0,60961202.0,0.6878387907364519,11,436,1,NY,0.6878387907364519
NYCB,2024,NY,79682020.0,30470495.0,0.3824011364169734,11,419,1,MI,0.4177379037328622
NYCB,2025,NY,70246292.0,30564718.0,0.43510792000238246,10,360,1,NY,0.43510792000238246
ONB,2009,IN,5821191.0,4344494.0,0.7463239051939715,4,185,1,IN,0.7463239051939715
ONB,2010,IN,5661439.0,4219233.0,0.7452580518839822,4,170,1,IN,0.7452580518839822
